run,normalization_method,activation_function,learning_rate,nodes,layers,epoch,loss,validation,modelname,option,mean_std
0,no-norm,relu,0.01,"[8, 8]",2,20,0.00041416764724999666,0.0004259942506905645,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,21,0.0003474130935501307,0.0006354769575409591,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,22,0.0002887928858399391,0.0004999267403036356,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,23,0.00026224428438581526,0.00033940101275220513,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,24,0.0003314340428914875,0.00177600362803787,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,25,0.00041421884088777006,0.0003412838850636035,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,26,0.0005132902879267931,0.0014468340668827295,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,27,0.0004496264737099409,0.0003981091140303761,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,28,0.00034599940408952534,0.00041286449413746595,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,29,0.00038353982381522655,0.0004562822578009218,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,30,0.00042533990927040577,0.000586514885071665,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,31,0.0003283925470896065,0.0006581804482266307,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,32,0.00037602861993946135,0.0004075105534866452,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,33,0.0004776078276336193,0.0010795947164297104,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,34,0.0003743245906662196,0.00047033437294885516,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,35,0.0003091330290772021,0.0005503833526745439,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,36,0.0003297592920716852,0.002130300272256136,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,37,0.00036502801231108606,0.00037908932426944375,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
0,no-norm,relu,0.01,"[8, 8]",2,38,0.0003027860657311976,0.0009891794761642814,1824968eb66d4ca1861351fb7b1bb6c0,option_3,"{'u_t_data_norm': [0, 1], 'v_t_data_norm': [0, 1], 'u_dot_t_data_norm': [0, 1], 'v_dot_t_data_norm': [0, 1]}"
